,No.,Altitude,Date,https://docs.google.com/spreadsheets/d/1fSvWzYNNyPRax3SlRuPMMsVsCZzNOj_fLgdczTBqpuk/edit#gid=941757145,Family,Species,Sex,W_length,B_length,w (g),插針重/針種類,Dw(g),Wei,Note_WT ,label,ID(ima),Note_SW,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,Note,leg,點測
58,SJTT0058,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,#N/A,18.5,12.66,0.0543,0.0375,0.0167,#N/A,右翅破損、身體彎曲,1,1,,1,1,#N/A,#N/A,,,1,0,,,,,IR_13682,41.5,44.9,43,,,
59,SJTT0059,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,#N/A,22.03,17.9,0.0544,0.0379,0.0163,#N/A,右翅破損,1,1,,1,1,#N/A,#N/A,無樣本,,1,0,IR_13670,15.7,15.9,15.8,IR_13706,42.5,43.1,42.9,,0,
60,SJTT0060,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC016,#N/A,16.06,16.02,0.1152,0.037,0.0782,#N/A,,1,1,,1,#N/A,#N/A,#N/A,,,1,0,IR_13672,17.3,18,17.8,IR_13696,34.5,37.6,35.9,,,
61,SJTT0061,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC033,#N/A,15.42,14.28,0.0745,0.0382,0.0371,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13674,15.5,15.8,15.7,IR_13724,38.9,40.3,39.6,,,
62,SJTT0062,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO002,#N/A,15.7,8.51,0.0494,0.0375,0.011,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13676,16.4,16.9,16.6,IR_13708,40.4,42,41.1,,,
63,SJTT0063,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,#N/A,18.23,11.25,0.0522,0.0371,0.0148,#N/A,,1,1,,1,1,#N/A,#N/A,,,0,1,IR_13680,16.6,17,16.8,IR_13756,-2.5,-1.5,-1.7,,,
64,SJTT0064,2000,28-VI-2017,"30.65613, 102.74873",Drepanidae,SJ_DRE03,#N/A,21.44,10.37,0.0489,0.0377,0.012,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13688,15.9,16.2,16,IR_13718,39.3,40.5,39.9,,,
65,SJTT0065,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO148,male,30.25,23.53,0.2401,0.0373,0.2028,#N/A,右翅破損,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13692,17,17.5,17.3,IR_13746,43.4,45.4,44.1,,,
66,SJTT0066,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT15,male,20.12,13.36,0.0647,0.0369,0.0278,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13768,14.7,15,14.9,IR_13778,39.2,40.6,40,,,
67,SJTT0067,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,#N/A,18.36,10.99,0.0571,0.0371,0.0192,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13698,16.7,17.1,16.9,IR_13730,37.2,40.8,38.7,,,
